SPN name,SPN,FMI,source
DC-DC Converter MalfunctionFault Code 30,519320,1,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 30,519320,0,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 28,519326,1,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 28,519326,0,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 8,519325,1,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 8,519325,0,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 13,519323,1,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 13,519323,0,CABIN_IO_1_ECU
Charging Station MismatchFault Code 17,519400,16,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 30,519338,16,CABIN_IO_1_ECU
Traction Control System FailureFault Code 29,519319,16,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 8,519028,6,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 13,519029,6,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 28,519030,6,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 12,519031,6,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 28,519032,6,CABIN_IO_1_ECU
Traction Control System FailureFault Code 24,519033,6,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 31,519034,6,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 12,519035,6,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 4,519036,6,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 17,519037,6,CABIN_IO_1_ECU
Inverter OverloadFault Code 1,519038,6,CABIN_IO_1_ECU
Drive Motor OverloadFault Code 28,519039,6,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 31,519040,6,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 23,519041,6,CABIN_IO_1_ECU
Battery State of Charge ErrorFault Code 24,519042,6,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 2,519043,6,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 22,519060,3,CABIN_IO_1_ECU
Battery OverheatingFault Code 24,519061,3,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 25,519062,3,CABIN_IO_1_ECU
Traction Control System FailureFault Code 29,519063,3,CABIN_IO_1_ECU
HVAC System FaultFault Code 25,519064,3,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 15,519065,3,CABIN_IO_1_ECU
HVAC System FaultFault Code 24,519066,3,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 22,519067,3,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 22,519060,4,CABIN_IO_1_ECU
Battery OverheatingFault Code 24,519061,4,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 25,519062,4,CABIN_IO_1_ECU
Traction Control System FailureFault Code 29,519063,4,CABIN_IO_1_ECU
HVAC System FaultFault Code 25,519064,4,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 15,519065,4,CABIN_IO_1_ECU
HVAC System FaultFault Code 24,519066,4,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 22,519067,4,CABIN_IO_1_ECU
Battery Cooling System ErrorFault Code 11,516996,16,CABIN_IO_1_ECU
Inverter OverloadFault Code 26,516997,16,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 9,516998,16,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 19,516999,16,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 19,519000,16,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 9,519001,16,CABIN_IO_1_ECU
Electric Drive Unit OvercurrentFault Code 7,519002,16,CABIN_IO_1_ECU
Battery Cooling System ErrorFault Code 17,519003,16,CABIN_IO_1_ECU
Battery OverheatingFault Code 13,519004,16,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 21,519005,16,CABIN_IO_1_ECU
HVAC System FaultFault Code 13,519006,16,CABIN_IO_1_ECU
Inverter OverloadFault Code 6,519007,16,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 7,519008,16,CABIN_IO_1_ECU
Inverter OverloadFault Code 12,519009,16,CABIN_IO_1_ECU
Inverter OverloadFault Code 6,519010,16,CABIN_IO_1_ECU
Battery OverheatingFault Code 16,519011,16,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 22,519012,16,CABIN_IO_1_ECU
Isolation Fault DetectedFault Code 26,519013,16,CABIN_IO_1_ECU
Charging Station MismatchFault Code 28,519014,16,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 12,519015,16,CABIN_IO_1_ECU
Charging Station MismatchFault Code 7,519016,16,CABIN_IO_1_ECU
Inverter OverloadFault Code 12,519017,16,CABIN_IO_1_ECU
Charging Station MismatchFault Code 18,519018,16,CABIN_IO_1_ECU
Charging Station MismatchFault Code 1,519019,16,CABIN_IO_1_ECU
Vehicle Speed Sensor FaultFault Code 14,519493,0,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 1,519300,0,CABIN_IO_1_ECU
Motor Controller FaultFault Code 18,519301,16,CABIN_IO_1_ECU
Motor Controller FaultFault Code 10,519347,16,CABIN_IO_1_ECU
High Voltage DisconnectFault Code 16,519348,16,CABIN_IO_1_ECU
Battery OverheatingFault Code 12,519349,16,CABIN_IO_1_ECU
Motor Controller FaultFault Code 21,519350,16,CABIN_IO_1_ECU
Drive Motor OverloadFault Code 9,519303,16,CABIN_IO_1_ECU
Powertrain Communication TimeoutFault Code 17,519305,16,CABIN_IO_1_ECU
Traction Control System FailureFault Code 3,519307,16,CABIN_IO_1_ECU
Regenerative Braking ErrorFault Code 7,519309,16,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 24,519304,16,CABIN_IO_1_ECU
Brake Pressure Sensor ErrorFault Code 16,519306,16,CABIN_IO_1_ECU
Traction Control System FailureFault Code 10,519308,16,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 22,519310,16,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 13,519327,0,CABIN_IO_1_ECU
Charging Station MismatchFault Code 23,519328,0,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 22,519329,0,CABIN_IO_1_ECU
Electric Drive Unit OvercurrentFault Code 10,519330,0,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 13,519327,16,CABIN_IO_1_ECU
Charging Station MismatchFault Code 23,519328,16,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 22,519329,16,CABIN_IO_1_ECU
Electric Drive Unit OvercurrentFault Code 10,519330,16,CABIN_IO_1_ECU
Inverter OverloadFault Code 3,519485,0,CABIN_IO_1_ECU
Battery OverheatingFault Code 18,519486,0,CABIN_IO_1_ECU
Inverter OverloadFault Code 3,519485,16,CABIN_IO_1_ECU
Battery OverheatingFault Code 18,519486,16,CABIN_IO_1_ECU
DC-DC Converter MalfunctionFault Code 12,519355,31,CABIN_IO_1_ECU
Charge Port Communication ErrorFault Code 11,519356,31,CABIN_IO_1_ECU
Thermal Management System FailureFault Code 17,519357,31,CABIN_IO_1_ECU
Battery Cell ImbalanceFault Code 10,519358,31,CABIN_IO_1_ECU
Motor Controller FaultFault Code 17,400011,2,CABIN_IO_1_ECU
Motor Controller FaultFault Code 17,400011,13,CABIN_IO_1_ECU
