Time,Node,SPN,FMI
0.833994117,DCU,518277,2
0.833994117,DCU,518088,4
0.833994117,DCU,6599,11
0.833994117,DCU,898,21
0.833994117,DCU,400000,16
0.833994117,DCU,519400,16
0.833994117,DCU,518501,13
0.833994117,DCU,518584,13
0.833994117,DCU,80003,22
0.833994117,DCU,518102,12
0.833994117,DCU,518102,2
0.833994117,DCU,518102,0
0.833994117,DCU,898,2
0.833994117,DCU,518693,13
5.834016297,DCU,1569,13
8.834038673,DCU,1569,-1
13.83415519,DCU,1569,13
17.83541286,DCU,1569,-1
23.83543294,DCU,1569,13
26.83531265,DCU,1569,-1
35.83563979,DCU,1569,13
36.83564469,DCU,1569,-1
42.83678716,DCU,1569,13
45.83718922,DCU,1569,-1
50.83690105,DCU,1569,13
54.83703367,DCU,1569,-1
